County,FIPS,White Under 15,White 15 to 19,White 20 to 24,White 25 to 29,White 30 to 34,White 35 to 39,White 40+,Black Under 15,Black 15 to 19,Black 20 to 24,Black 25 to 29,Black 30 to 34,Black 35 to 39,Black 40+,Asian Under 15,Asian 15 to 19,Asian 20 to 24,Asian 25 to 29,Asian 30 to 34,Asian 35 to 39,Asian 40+,Other Under 15,Other 15 to 19,Other 20 to 24,Other 25 to 29,Other 30 to 34,Other 35 to 39,Other 40+,Hispanic Under 15,Hispanic 15 to 19,Hispanic 20 to 24,Hispanic 25 to 29,Hispanic 30 to 34,Hispanic 35 to 39,Hispanic 40+
ELLIS,139,9901,3811,3146,3512,3729,4145,34024,1891,815,677,624,700,782,4859,84,31,29,36,40,64,271,702,201,155,153,105,100,617,7051,2604,2039,2052,2105,2027,8681
ERATH,143,2006,1491,2516,1051,1011,716,7632,33,47,85,26,15,7,47,47,24,16,11,11,16,37,88,32,35,38,18,10,119,1276,517,589,368,329,301,1368
FALLS,145,520,157,182,235,274,284,2704,330,108,159,220,197,167,966,9,0,5,2,1,0,12,76,13,15,26,7,5,90,467,148,165,178,185,156,681
FANNIN,147,1960,811,622,718,793,785,7986,126,55,39,52,46,54,393,2,1,5,3,2,5,61,162,37,22,30,30,29,230,543,179,134,130,131,117,566
FAYETTE,149,950,354,343,399,335,376,5902,149,83,49,65,39,52,461,7,0,1,0,1,1,18,54,12,12,11,6,8,86,703,258,187,166,181,235,881
FISHER,151,182,58,44,66,61,64,723,11,3,1,6,1,2,31,0,0,0,0,0,0,2,4,1,0,3,1,0,10,119,35,28,40,23,49,268
FLOYD,153,129,32,30,38,37,48,621,19,6,7,5,6,8,51,0,0,0,0,0,0,3,4,0,5,1,3,0,8,390,150,114,110,98,100,601
FOARD,155,54,28,21,19,18,22,286,4,7,6,3,0,1,8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,25,10,3,5,3,5,48
FORT BEND,157,24308,9211,6681,6788,6890,9703,75605,16283,6348,5647,5296,5088,6091,41729,16342,6581,5068,5277,6106,7908,42618,4315,1237,953,714,584,621,3302,24064,9298,7612,6819,7021,8529,40950
FRANKLIN,159,576,238,167,185,220,208,2450,46,15,27,22,14,13,111,2,8,5,0,0,0,14,32,8,6,6,8,1,71,224,74,71,53,43,51,221
FREESTONE,161,926,383,272,308,298,321,3832,250,90,69,80,67,68,781,4,0,0,8,5,1,9,58,12,6,8,7,5,54,446,175,105,67,92,112,436
FRIO,163,210,57,54,70,54,56,711,13,1,3,6,4,3,25,9,2,3,2,1,6,15,14,6,8,5,5,0,31,1376,517,459,450,326,356,2538
GAINES,165,1607,548,397,375,388,350,2240,35,10,8,7,5,7,72,8,0,0,4,0,3,10,35,15,2,9,8,6,24,1360,459,332,293,271,304,1416
GALVESTON,167,14715,5626,4802,5634,6211,6428,55595,4282,1608,1478,1732,1584,1541,11405,923,510,497,533,464,521,3467,1397,359,313,287,234,209,1405,10375,3816,3331,3357,3149,3403,16760
GARZA,169,128,49,43,53,59,58,644,31,7,8,9,13,5,52,0,0,0,0,0,4,1,11,3,2,4,1,1,5,155,61,55,64,58,47,320
GILLESPIE,171,1092,415,351,396,328,426,7133,10,4,0,5,5,3,23,6,9,0,4,5,4,28,40,11,11,7,11,6,92,907,275,243,233,191,225,1305
GLASSCOCK,173,73,14,21,27,14,22,181,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,33,13,15,10,4,9,64
GOLIAD,175,244,105,76,95,74,130,1279,35,12,7,1,5,5,94,0,0,0,0,0,0,1,15,8,6,3,6,2,12,290,94,92,93,78,81,671
GONZALES,177,486,181,175,214,197,192,2471,100,46,33,29,28,38,310,7,5,2,1,5,5,26,26,10,13,4,7,3,46,1285,475,357,339,316,293,1844
GRAY,179,869,367,259,360,351,369,3518,47,18,13,13,9,6,88,9,5,0,0,4,6,20,74,22,15,18,8,15,88,896,305,232,216,194,202,893
GRAYSON,181,7482,3035,2788,2849,3213,3118,30562,742,324,301,295,303,253,1835,121,160,210,34,62,57,305,951,273,248,206,165,144,1113,3018,926,858,647,672,602,2763
GREGG,183,5123,1840,1956,2193,2307,2135,19901,2443,912,995,1055,934,839,5865,118,41,58,69,69,64,361,600,173,130,108,81,54,448,3738,1237,925,911,835,743,3066
